setup,regime,config,sample_flag,n_signals,n_trades,wr,wr_ci_low,wr_ci_high,expectancy,exp_ci_low,exp_ci_high,median_pnl,p25,p75,std,sharpe,pf,max_dd,p_value,fdr_significant,bonferroni_significant,train_expectancy,test_expectancy,oos_pass,oos_reason
orb_dax,CRASH,baseline_F1234,REJECT,9,7,0.42857142857142855,0.15821985525146975,0.7495416354723428,56.93351332222249,-44.07613760141534,174.8982642994584,-38.5,-42.11727823274032,110.61099999999715,165.97453335774784,5.445362531290474,3.1449839115346014,-147.29840674442676,0.199546495014681,False,False,-46.44960168610669,194.7776666666614,False,train expectancy -46.4496 ≤ 0 (no in-sample edge)
orb_dax,CRASH,drop_F1,REJECT,23,18,0.3333333333333333,0.1627877475083369,0.5625053270405489,9.034640691295156,-42.7563479393251,64.688379308652,-41.09892921315077,-60.88728716377818,61.053750000000036,125.78652102354891,1.140189533480298,1.2180891790169202,-369.8545391890766,0.38213598404434596,False,False,-23.278093634392615,73.6601093426707,False,train expectancy -23.2781 ≤ 0 (no in-sample edge)
orb_dax,CRASH,drop_F2,REJECT,9,7,0.42857142857142855,0.15821985525146975,0.7495416354723428,56.93351332222249,-44.07613760141534,174.8982642994584,-38.5,-42.11727823274032,110.61099999999715,165.97453335774784,5.445362531290474,3.1449839115346014,-147.29840674442676,0.199546495014681,False,False,-46.44960168610669,194.7776666666614,False,train expectancy -46.4496 ≤ 0 (no in-sample edge)
orb_dax,CRASH,drop_F3,REJECT,9,7,0.42857142857142855,0.15821985525146975,0.7495416354723428,56.93351332222249,-44.07613760141534,174.8982642994584,-38.5,-42.11727823274032,110.61099999999715,165.97453335774784,5.445362531290474,3.1449839115346014,-147.29840674442676,0.199546495014681,False,False,-46.44960168610669,194.7776666666614,False,train expectancy -46.4496 ≤ 0 (no in-sample edge)
orb_dax,CRASH,drop_F4,REJECT,9,7,0.42857142857142855,0.15821985525146975,0.7495416354723428,56.93351332222249,-44.07613760141534,174.8982642994584,-38.5,-42.11727823274032,110.61099999999715,165.97453335774784,5.445362531290474,3.1449839115346014,-147.29840674442676,0.199546495014681,False,False,-46.44960168610669,194.7776666666614,False,train expectancy -46.4496 ≤ 0 (no in-sample edge)
orb_dax,CRASH,all_off,REJECT,23,18,0.3333333333333333,0.1627877475083369,0.5625053270405489,9.034640691295156,-42.7563479393251,64.688379308652,-41.09892921315077,-60.88728716377818,61.053750000000036,125.78652102354891,1.140189533480298,1.2180891790169202,-369.8545391890766,0.38213598404434596,False,False,-23.278093634392615,73.6601093426707,False,train expectancy -23.2781 ≤ 0 (no in-sample edge)
us_momentum,TREND,baseline_F1234,PRIMARY,569,569,0.45518453427065025,0.4147037599260172,0.4962663711378316,3.284964403025567,-1.9663016819382009,9.067349602970733,-4.010000000002037,-43.5,37.10499999999956,65.95934966490381,0.790595927970153,1.1564045053191563,-2196.331235772559,0.11766819528865356,False,False,3.003011338514279,3.8942963035527405,True,OOS ratio 129.68% ≥ 70%
us_momentum,TREND,drop_F1,PRIMARY,2115,2115,0.440661938534279,0.41963003157965584,0.4619090052580973,2.981044570281443,-0.29983276927991775,6.311834644793614,-5.944999999999709,-43.5,30.8799999999992,75.19954148303277,0.6292939364751581,1.1333103680373422,-9252.444426469448,0.03421535218412599,False,False,-0.19964322870316317,9.82592263545845,False,train expectancy -0.1996 ≤ 0 (no in-sample edge)
us_momentum,TREND,drop_F2,PRIMARY,1658,1658,0.4632086851628468,0.43931936560656687,0.48726809593950876,2.173618845423752,-0.7548205078716992,5.053899125052499,-5.600000000000364,-43.5,32.89187499999889,60.04493501112016,0.5746551220984302,1.101978612745642,-3399.44523688556,0.07033495118250928,False,False,2.7572355766942813,0.7904946408273357,False,OOS ratio 28.67% < 70%
us_momentum,TREND,drop_F3,PRIMARY,569,569,0.45518453427065025,0.4147037599260172,0.4962663711378316,3.284964403025567,-1.9663016819382009,9.067349602970733,-4.010000000002037,-43.5,37.10499999999956,65.95934966490381,0.790595927970153,1.1564045053191563,-2196.331235772559,0.11766819528865356,False,False,3.003011338514279,3.8942963035527405,True,OOS ratio 129.68% ≥ 70%
